model,iteration,validation_rmse,validation_mae,validation_r2,params,feature_set
XGBoost,14,21.576711999877002,12.319067880206982,0.7994479324356591,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}",base
XGBoost,21,21.600117781978554,12.32880906502277,0.7990125904806591,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 1.0}",base
XGBoost,25,21.657121099176482,12.666738756201449,0.7979503678781243,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",base
XGBoost,24,21.703254144493098,12.500663294552599,0.7970886566137777,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",base
XGBoost,8,21.76204683644924,12.684838200542877,0.7959878205437988,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",base
XGBoost,22,21.78293129722611,12.783433506284,0.7955960624683807,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",base
XGBoost,6,21.87416041918573,12.705186625933532,0.7938803484083818,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",base
XGBoost,9,21.98332112145658,12.853300244688409,0.7918179782103196,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}",base
XGBoost,19,22.073851043891175,13.004736166294043,0.7900998111819921,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",base
XGBoost,1,22.14182769262669,12.863639102453543,0.788805041086696,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}",base
XGBoost,16,22.342620412221592,13.07444754806098,0.784957238493739,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}",base
XGBoost,23,22.40663519080571,13.17895750713503,0.7837232171337197,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}",base
XGBoost,17,22.480826157654324,13.226105541155055,0.7822886109810486,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",base
XGBoost,20,22.519551417770945,13.228518414922434,0.781537909771803,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",base
XGBoost,13,22.65150402045383,13.243611341627915,0.7789702657494383,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",base
XGBoost,4,23.201813538381394,13.660375599111498,0.7681001441747066,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 10, ""subsample"": 0.85}",base
XGBoost,10,23.243269814438957,13.572798525842698,0.767270700979815,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}",base
Random Forest,18,21.45824803037351,11.946928580173736,0.801644094062853,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 500}",weather
Random Forest,12,21.5515687146889,11.97084016854135,0.799915065685794,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",weather
Random Forest,20,21.652082858202366,12.248305478850385,0.7980443652586223,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",weather
Random Forest,11,21.715774083451134,12.240427018618238,0.7968544824787573,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
Random Forest,17,21.72908629632031,12.25916278013842,0.7966053414384388,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",weather
Random Forest,19,21.765277230681125,12.23866936010854,0.7959272482376016,"{""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",weather
Random Forest,14,21.7871700398948,12.197660906077502,0.795516504765352,"{""max_depth"": 24, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 300}",weather
Random Forest,8,21.82971358790114,12.308048640164058,0.7947171400897468,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 500}",weather
Random Forest,13,21.894714904854474,12.34567067948753,0.7934927976283773,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
Random Forest,6,22.00422437520699,12.719747643247594,0.7914218824118012,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",weather
Random Forest,16,22.053000184524162,12.757388930505313,0.790496165424987,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",weather
Random Forest,1,22.063695461160133,12.722599772727724,0.7902929055694878,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 300}",weather
Random Forest,7,22.29849561939929,12.852172161561644,0.7858057824349519,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",weather
Random Forest,5,23.3599978815287,13.567279063640378,0.7649272909871022,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",weather
Random Forest,9,25.799152123028353,15.772487128751823,0.7132737328366665,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",weather
