model,iteration,validation_rmse,validation_mae,validation_r2,params,feature_set
XGBoost,20,22.519551417770945,13.228518414922434,0.781537909771803,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",base
XGBoost,13,22.65150402045383,13.243611341627917,0.7789702657494383,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",base
XGBoost,4,23.2018135383814,13.660375599111498,0.7681001441747066,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 10, ""subsample"": 0.85}",base
XGBoost,10,23.24326981443896,13.572798525842698,0.767270700979815,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}",base
Random Forest,18,21.45824803037351,11.946928580173736,0.801644094062853,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 500}",weather
Random Forest,12,21.5515687146889,11.97084016854135,0.799915065685794,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",weather
Random Forest,20,21.65208285820237,12.248305478850384,0.7980443652586223,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",weather
Random Forest,11,21.715774083451134,12.240427018618238,0.7968544824787573,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
Random Forest,17,21.72908629632031,12.25916278013842,0.7966053414384388,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",weather
Random Forest,19,21.765277230681125,12.23866936010854,0.7959272482376016,"{""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",weather
Random Forest,14,21.7871700398948,12.197660906077502,0.795516504765352,"{""max_depth"": 24, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 300}",weather
Random Forest,8,21.82971358790114,12.308048640164058,0.7947171400897468,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 500}",weather
Random Forest,13,21.894714904854474,12.34567067948753,0.7934927976283773,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
Random Forest,6,22.00422437520699,12.719747643247594,0.7914218824118012,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",weather
Random Forest,16,22.05300018452416,12.757388930505313,0.790496165424987,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",weather
Random Forest,1,22.063695461160133,12.722599772727724,0.7902929055694878,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 300}",weather
Random Forest,7,22.29849561939929,12.852172161561644,0.7858057824349519,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",weather
Random Forest,5,23.3599978815287,13.567279063640378,0.7649272909871022,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",weather
Random Forest,9,25.79915212302836,15.772487128751823,0.7132737328366665,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",weather
Random Forest,4,27.278634569301744,17.1802958889204,0.6794455058822867,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",weather
Random Forest,2,27.71721732751434,17.639959326616015,0.6690549662710221,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",weather
Random Forest,10,27.912774359160977,17.49670081234732,0.6643685696019488,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300}",weather
Random Forest,3,28.02054752756377,17.520344790137447,0.6617717733371629,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
Random Forest,15,28.571557876484626,18.185012956145822,0.6483387978822988,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
XGBoost,11,21.66501672046937,12.619514912337886,0.797803016974556,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",weather
XGBoost,8,21.76364541543588,12.869472593928853,0.7959578471167741,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",weather
XGBoost,25,21.883851668635764,12.915731003759744,0.7936976671601692,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",weather
XGBoost,7,22.021251131234965,13.024457736764967,0.7910989641674405,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.7}",weather
XGBoost,3,22.09757944701821,12.829212029440088,0.7896483019962144,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 1.0}",weather
XGBoost,12,22.11782339033587,13.190062319942578,0.7892627123951986,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",weather
XGBoost,15,22.22133840150368,13.1442180118839,0.7872855268526386,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}",weather
XGBoost,19,22.23499349403567,12.976240229799837,0.7870240189078145,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",weather
XGBoost,21,22.27470958442849,13.16978309343854,0.7862625050661128,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 1.0}",weather
XGBoost,9,22.30298001586149,13.182395689761814,0.7857196216111028,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}",weather
XGBoost,5,22.42235585089746,13.147085711326168,0.7834196279069073,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 10, ""subsample"": 0.85}",weather
XGBoost,24,22.509559079210323,13.145449953295614,0.7817317380431446,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",weather
XGBoost,14,22.579284405463124,12.868004446014206,0.7803774337190742,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}",weather
XGBoost,1,22.5983581386732,13.384024854687857,0.780006226953768,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}",weather
XGBoost,22,22.6214787928818,13.59980771329067,0.7795558400803366,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",weather
XGBoost,2,22.63069673397224,13.423267150273002,0.7793761475577657,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}",weather
XGBoost,6,22.699922791645967,13.433444488995272,0.7780243306672869,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",weather
XGBoost,18,22.731813564505263,13.511672857051153,0.7774001921371183,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}",weather
XGBoost,23,22.798941223714777,13.626172413818262,0.776083564499253,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}",weather
XGBoost,13,22.82122306639697,13.742775062301364,0.7756456749678192,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",weather
XGBoost,20,22.84516177687232,13.665188406043152,0.7751747475256989,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",weather
XGBoost,17,23.087072984014515,13.965323235961568,0.7703881139969503,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",weather
XGBoost,16,23.310382189688188,14.031182741384644,0.7659248004017672,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 0.85}",weather
XGBoost,4,23.50203977590912,13.930383683487506,0.7620598516518416,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 10, ""subsample"": 0.85}",weather
XGBoost,10,23.626567766294567,13.95452428814658,0.759531670425664,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 1, ""subsample"": 1.0}",weather
Random Forest,12,21.690150758234328,12.06542462645763,0.7973335989671332,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",footprints
