data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2018,17031530200,"Census Tract 5302, Cook County, Illinois",36448.0,18115.0,27.0,32.4,86.7,2937.0,1233.0,4.27,1929.0,1233.0,36.1,53.7,46.3,3.8
2018,17031560100,"Census Tract 5601, Cook County, Illinois",62059.0,16910.0,7.4,9.0,85.2,1214.0,342.0,4.2,361.0,342.0,5.3,72.5,27.5,9.9
2018,17031580100,"Census Tract 5801, Cook County, Illinois",41681.0,16761.0,11.3,18.4,87.7,2011.0,806.0,3.91,956.0,806.0,15.7,57.3,42.7,8.3
2018,17031580600,"Census Tract 5806, Cook County, Illinois",46419.0,19559.0,15.7,17.6,86.9,3772.0,1440.0,4.17,1681.0,1440.0,14.3,51.0,49.0,10.5
2018,17031590500,"Census Tract 5905, Cook County, Illinois",53295.0,22284.0,13.7,21.4,84.1,1564.0,631.0,3.85,708.0,631.0,10.9,55.6,44.4,2.7
2018,17031600400,"Census Tract 6004, Cook County, Illinois",34127.0,23706.0,12.4,28.3,77.0,3579.0,1581.0,3.45,1643.0,1581.0,3.8,40.7,59.3,6.4
2018,17031819100,"Census Tract 8191, Cook County, Illinois",55076.0,25805.0,6.9,8.8,75.8,3269.0,1726.0,3.27,1851.0,1726.0,6.8,46.5,53.5,1.1
2018,17031819600,"Census Tract 8196, Cook County, Illinois",150273.0,60821.0,4.6,2.5,25.099999999999994,2468.0,1233.0,3.34,1307.0,1233.0,5.7,92.0,8.0,0.0
2018,17031827804,"Census Tract 8278.04, Cook County, Illinois",72500.0,31201.0,17.1,9.2,72.3,2480.0,1166.0,3.51,1184.0,1166.0,1.5,92.5,7.5,0.0
2018,17031060200,"Census Tract 602, Cook County, Illinois",72679.0,65610.0,2.9,15.3,25.8,1926.0,1121.0,3.36,1184.0,1121.0,5.3,25.6,74.4,3.7
2018,17031061000,"Census Tract 610, Cook County, Illinois",116389.0,70036.0,2.6,14.4,13.299999999999995,2092.0,1074.0,2.36,1149.0,1074.0,6.5,31.7,68.3,2.0
2018,17031062400,"Census Tract 624, Cook County, Illinois",127059.0,91514.0,3.3,3.7,16.099999999999994,1320.0,720.0,2.83,800.0,720.0,10.0,56.1,43.9,0.0
2018,17031070200,"Census Tract 702, Cook County, Illinois",92441.0,74738.0,2.6,9.6,18.599999999999994,3722.0,2036.0,2.87,2222.0,2036.0,8.4,36.3,63.7,2.5
2018,17031070300,"Census Tract 703, Cook County, Illinois",143221.0,77727.0,2.7,7.7,8.599999999999994,3108.0,1629.0,2.84,1819.0,1629.0,10.4,44.2,55.8,1.2
2018,17031010600,"Census Tract 106, Cook County, Illinois",47549.0,32742.0,7.5,24.4,46.6,5419.0,2875.0,3.03,3301.0,2875.0,12.9,24.8,75.2,5.1
2018,17031020400,"Census Tract 204, Cook County, Illinois",63977.0,34574.0,3.7,17.9,51.3,3196.0,1669.0,3.24,1834.0,1669.0,9.0,53.6,46.4,3.4
2018,17031031000,"Census Tract 310, Cook County, Illinois",81291.0,54487.0,4.5,6.8,34.0,3585.0,2005.0,2.74,2104.0,2005.0,4.7,40.4,59.6,1.2
2018,17031040300,"Census Tract 403, Cook County, Illinois",90250.0,45774.0,11.3,1.4,46.0,2461.0,1062.0,3.08,1133.0,1062.0,6.3,67.5,32.5,0.0
2018,17031050600,"Census Tract 506, Cook County, Illinois",105513.0,84049.0,3.9,8.1,17.799999999999997,1852.0,1092.0,2.92,1192.0,1092.0,8.4,54.2,45.8,1.7
2018,17031060500,"Census Tract 605, Cook County, Illinois",34130.0,57073.0,3.2,22.6,50.0,1108.0,754.0,2.74,804.0,754.0,6.2,23.3,76.7,1.7
2018,17031060900,"Census Tract 609, Cook County, Illinois",59942.0,56679.0,1.9,8.9,30.40000000000001,6667.0,4680.0,2.73,5151.0,4680.0,9.1,39.0,61.0,2.6
2018,17031150700,"Census Tract 1507, Cook County, Illinois",71190.0,30769.0,0.9,17.9,72.0,3309.0,1472.0,3.35,1651.0,1472.0,10.8,60.8,39.2,6.4
2018,17031161300,"Census Tract 1613, Cook County, Illinois",47931.0,24478.0,5.8,8.1,76.2,3162.0,1450.0,3.55,1645.0,1450.0,11.9,36.8,63.2,2.2
2018,17031210400,"Census Tract 2104, Cook County, Illinois",51141.0,26421.0,6.5,23.6,79.9,2177.0,979.0,3.5,1111.0,979.0,11.9,42.9,57.1,2.7
2018,17031210800,"Census Tract 2108, Cook County, Illinois",61739.0,42864.0,2.1,5.5,55.0,924.0,384.0,3.43,409.0,384.0,6.1,38.0,62.0,1.0
2018,17031221600,"Census Tract 2216, Cook County, Illinois",133438.0,85396.0,1.0,5.6,20.3,2614.0,1413.0,2.76,1530.0,1413.0,7.6,51.7,48.3,0.0
2018,17031801800,"Census Tract 8018, Cook County, Illinois",140789.0,83357.0,4.5,6.7,25.099999999999994,4369.0,2350.0,3.09,2521.0,2350.0,6.8,88.7,11.3,0.0
2018,17031802900,"Census Tract 8029, Cook County, Illinois",130909.0,54241.0,2.3,2.6,30.90000000000001,4426.0,2052.0,3.1,2081.0,2052.0,1.4,94.4,5.6,0.0
2018,17031803604,"Census Tract 8036.04, Cook County, Illinois",69417.0,40711.0,3.3,4.2,48.1,3413.0,1845.0,3.05,1899.0,1845.0,2.8,68.1,31.9,1.0
