data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2022,17031818000,Census Tract 8180; Cook County; Illinois,51794.0,36733.0,7.3,16.0,5.799999999999997,24.1,1768.0,2.35,1805.0,1768.0,2.0,62.8,37.2,0.0
2022,17031818100,Census Tract 8181; Cook County; Illinois,121328.0,55400.0,1.5,1.7,6.200000000000003,47.1,919.0,2.44,968.0,919.0,5.1,94.5,5.5,1.1
2022,17031818200,Census Tract 8182; Cook County; Illinois,99302.0,52262.0,6.8,5.3,5.400000000000006,35.6,1963.0,2.35,1997.0,1963.0,1.7,82.8,17.2,0.0
2022,17031818300,Census Tract 8183; Cook County; Illinois,74615.0,29177.0,3.2,4.1,19.200000000000003,22.1,2014.0,3.1,2055.0,2014.0,2.0,67.6,32.4,5.9
2022,17031818401,Census Tract 8184.01; Cook County; Illinois,67235.0,36926.0,3.8,8.7,15.700000000000003,22.5,1362.0,2.2,1392.0,1362.0,2.2,82.6,17.4,0.0
2022,17031818402,Census Tract 8184.02; Cook County; Illinois,88550.0,47053.0,11.5,4.3,7.900000000000006,52.0,1631.0,1.96,1650.0,1631.0,1.2,75.5,24.5,0.0
2022,17031818500,Census Tract 8185; Cook County; Illinois,105026.0,53977.0,3.9,1.1,4.799999999999997,49.9,2379.0,2.35,2621.0,2379.0,9.2,94.9,5.1,0.0
2022,17031818600,Census Tract 8186; Cook County; Illinois,105146.0,55777.0,4.5,4.1,2.0,63.4,1943.0,2.43,2104.0,1943.0,7.7,74.8,25.2,0.0
2022,17031818700,Census Tract 8187; Cook County; Illinois,114922.0,49918.0,0.7,5.2,4.799999999999997,44.9,1540.0,2.51,1566.0,1540.0,1.7,88.1,11.9,0.0
2022,17031818800,Census Tract 8188; Cook County; Illinois,111096.0,49591.0,2.5,3.7,3.700000000000003,46.5,2118.0,2.52,2241.0,2118.0,5.5,90.7,9.3,0.0
2022,17031818900,Census Tract 8189; Cook County; Illinois,103090.0,44970.0,3.2,4.0,4.700000000000003,48.6,1919.0,2.33,2013.0,1919.0,4.7,65.2,34.8,0.0
2022,17031819000,Census Tract 8190; Cook County; Illinois,169015.0,64137.0,3.1,2.9,1.2999999999999972,71.3,1496.0,3.01,1679.0,1496.0,10.9,84.3,15.7,0.0
2022,17031819100,Census Tract 8191; Cook County; Illinois,47316.0,38558.0,6.1,8.3,14.5,22.5,1893.0,2.12,2056.0,1893.0,7.9,55.7,44.3,3.1
2022,17031819200,Census Tract 8192; Cook County; Illinois,80052.0,29147.0,3.4,6.8,18.900000000000006,12.2,2100.0,3.17,2280.0,2100.0,7.9,79.4,20.6,2.0
2022,17031819300,Census Tract 8193; Cook County; Illinois,89276.0,42388.0,2.6,8.6,9.299999999999997,39.7,1047.0,2.57,1154.0,1047.0,9.3,84.4,15.6,3.1
2022,17031819400,Census Tract 8194; Cook County; Illinois,77553.0,42560.0,3.5,5.2,14.799999999999997,29.9,2356.0,2.4,2427.0,2356.0,2.9,62.0,38.0,0.0
