data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2019,17031691000,"Census Tract 6910, Cook County, Illinois",42538.0,26958.0,16.2,17.6,14.599999999999994,17.7,1023.0,2.2,1321.0,1023.0,22.6,41.3,58.7,6.199999999999999
2019,17031710400,"Census Tract 7104, Cook County, Illinois",39659.0,21992.0,10.8,23.8,18.099999999999994,13.7,1904.0,2.95,2272.0,1904.0,16.2,53.1,46.9,3.8
2019,17031740400,"Census Tract 7404, Cook County, Illinois",85064.0,40495.0,4.3,2.9,3.700000000000003,39.8,1838.0,2.43,1989.0,1838.0,7.6,72.7,27.3,1.5
2019,17031770800,"Census Tract 7708, Cook County, Illinois",58147.0,28136.0,3.7,7.8,14.299999999999997,16.7,1943.0,2.7,2128.0,1943.0,8.7,65.0,35.0,4.6
2019,17031800800,"Census Tract 8008, Cook County, Illinois",98125.0,84300.0,0.8,12.5,1.2000000000000028,67.9,969.0,2.35,1064.0,969.0,8.9,87.6,12.4,0.0
2019,17031081000,"Census Tract 810, Cook County, Illinois",64640.0,54850.0,1.6,17.6,4.099999999999994,67.0,4751.0,1.38,5602.0,4751.0,15.2,14.4,85.6,4.9
2019,17031030400,"Census Tract 304, Cook County, Illinois",57500.0,46106.0,5.2,10.5,9.0,62.1,1318.0,2.0,1415.0,1318.0,6.9,37.6,62.4,2.8
2019,17031030900,"Census Tract 309, Cook County, Illinois",107148.0,62518.0,4.0,9.0,7.799999999999997,68.6,1431.0,2.18,1560.0,1431.0,8.3,51.2,48.8,0.0
2019,17031031900,"Census Tract 319, Cook County, Illinois",69265.0,56370.0,6.0,8.6,7.0,70.6,1270.0,2.0,1339.0,1270.0,5.2,34.3,65.7,1.2
2019,17031050200,"Census Tract 502, Cook County, Illinois",94821.0,68530.0,4.0,4.0,6.700000000000003,71.6,2078.0,2.45,2346.0,2078.0,11.4,63.7,36.3,0.8
2019,17031802100,"Census Tract 8021, Cook County, Illinois",151094.0,73244.0,3.8,5.6,5.5,82.1,1158.0,2.98,1257.0,1158.0,7.9,81.4,18.6,0.0
2019,17031802801,"Census Tract 8028.01, Cook County, Illinois",107571.0,53821.0,3.5,2.6,3.299999999999997,61.5,1928.0,2.49,1963.0,1928.0,1.8,86.3,13.7,1.7000000000000002
2019,17031803100,"Census Tract 8031, Cook County, Illinois",121875.0,56324.0,1.6,2.2,2.5,64.3,1224.0,2.78,1224.0,1224.0,0.0,93.1,6.9,0.0
2019,17031803607,"Census Tract 8036.07, Cook County, Illinois",109516.0,45227.0,3.8,2.1,2.700000000000003,56.4,1793.0,2.73,1824.0,1793.0,1.7,93.3,6.7,0.3
2019,17031804606,"Census Tract 8046.06, Cook County, Illinois",113083.0,48117.0,2.6,1.1,5.900000000000006,44.7,2469.0,2.7,2469.0,2469.0,0.0,90.2,9.8,1.1
2019,17031804705,"Census Tract 8047.05, Cook County, Illinois",63277.0,29341.0,2.9,5.8,11.099999999999994,40.4,1593.0,2.81,1620.0,1593.0,1.7,71.7,28.3,8.0
2019,17031804710,"Census Tract 8047.10, Cook County, Illinois",86333.0,42575.0,2.5,0.9,2.799999999999997,41.6,1508.0,2.5,1559.0,1508.0,3.3,79.8,20.2,0.0
2019,17031804711,"Census Tract 8047.11, Cook County, Illinois",75377.0,33683.0,7.1,8.4,6.799999999999997,46.2,2961.0,2.61,3058.0,2961.0,3.2,53.8,46.2,6.5
2019,17031805106,"Census Tract 8051.06, Cook County, Illinois",72022.0,40978.0,2.6,10.2,5.400000000000006,52.5,1211.0,2.43,1276.0,1211.0,5.1,84.6,15.4,3.3
2019,17031805109,"Census Tract 8051.09, Cook County, Illinois",90417.0,41119.0,2.5,9.5,8.299999999999997,44.7,1685.0,2.48,1755.0,1685.0,4.0,85.0,15.0,0.0
2019,17031805002,"Census Tract 8050.02, Cook County, Illinois",43704.0,28486.0,6.7,9.2,17.400000000000006,34.9,3036.0,2.31,3180.0,3036.0,4.5,38.8,61.2,7.1
2019,17031804803,"Census Tract 8048.03, Cook County, Illinois",76280.0,35522.0,4.1,2.0,8.200000000000003,41.5,2132.0,2.83,2149.0,2132.0,0.8,73.8,26.2,4.1
2019,17031804808,"Census Tract 8048.08, Cook County, Illinois",107931.0,37059.0,5.7,8.2,4.299999999999997,42.5,828.0,3.16,869.0,828.0,4.7,97.5,2.5,2.4
2019,17031804902,"Census Tract 8049.02, Cook County, Illinois",93086.0,37995.0,5.8,7.8,9.5,48.1,1843.0,2.87,1921.0,1843.0,4.1,88.0,12.0,0.4
2019,17031805112,"Census Tract 8051.12, Cook County, Illinois",59180.0,27768.0,3.1,4.4,18.400000000000006,30.0,1229.0,2.66,1348.0,1229.0,8.8,69.6,30.4,4.0
2019,17031805502,"Census Tract 8055.02, Cook County, Illinois",141339.0,80026.0,1.9,5.3,3.299999999999997,69.7,1545.0,2.53,1647.0,1545.0,6.2,82.8,17.2,0.5
2019,17031805801,"Census Tract 8058.01, Cook County, Illinois",95733.0,55028.0,1.7,8.0,1.0,58.7,979.0,2.51,1027.0,979.0,4.7,93.9,6.1,0.0
2019,17031806700,"Census Tract 8067, Cook County, Illinois",122743.0,64597.0,3.9,1.1,4.200000000000003,73.8,1441.0,2.72,1588.0,1441.0,9.3,98.8,1.2,0.6
2019,17031807800,"Census Tract 8078, Cook County, Illinois",106473.0,39860.0,2.6,4.0,9.799999999999997,48.0,811.0,3.15,864.0,811.0,6.1,95.4,4.6,3.2
2019,17031809000,"Census Tract 8090, Cook County, Illinois",149583.0,83318.0,1.9,1.8,1.7999999999999972,82.0,1447.0,2.58,1580.0,1447.0,8.4,81.8,18.2,1.4
2019,17031809100,"Census Tract 8091, Cook County, Illinois",106103.0,69622.0,1.0,2.7,2.5999999999999943,73.5,1383.0,2.27,1545.0,1383.0,10.5,70.3,29.7,1.5
2019,17031810302,"Census Tract 8103.02, Cook County, Illinois",83750.0,43863.0,3.0,5.0,8.599999999999994,59.4,1112.0,2.69,1255.0,1112.0,11.4,66.7,33.3,0.0
2019,17031810502,"Census Tract 8105.02, Cook County, Illinois",58669.0,29262.0,5.7,6.4,12.099999999999994,24.0,1947.0,2.68,2054.0,1947.0,5.2,75.4,24.6,2.6
2019,17031810701,"Census Tract 8107.01, Cook County, Illinois",54201.0,24178.0,4.6,13.1,18.200000000000003,20.4,1813.0,2.75,1955.0,1813.0,7.3,50.6,49.4,2.1
2019,17031810800,"Census Tract 8108, Cook County, Illinois",76294.0,28033.0,4.1,7.7,10.599999999999994,29.4,1661.0,3.15,1759.0,1661.0,5.6,82.5,17.5,3.9
2019,17031811402,"Census Tract 8114.02, Cook County, Illinois",59196.0,27636.0,4.7,5.6,15.200000000000003,15.8,1442.0,2.88,1628.0,1442.0,11.4,75.0,25.0,0.6
2019,17031811500,"Census Tract 8115, Cook County, Illinois",76618.0,25775.0,7.5,6.5,21.700000000000003,19.3,1996.0,3.23,2076.0,1996.0,3.9,84.3,15.7,2.8
2019,17031080100,"Census Tract 801, Cook County, Illinois",125880.0,124438.0,5.1,5.9,0.7999999999999972,80.7,3963.0,1.7,4685.0,3963.0,15.4,50.4,49.6,0.0
2019,17031080400,"Census Tract 804, Cook County, Illinois",41250.0,55008.0,8.2,15.7,8.299999999999997,50.2,1873.0,2.3,2026.0,1873.0,7.6,31.7,68.3,2.6
2019,17031081300,"Census Tract 813, Cook County, Illinois",86207.0,87908.0,6.0,13.3,1.0999999999999943,81.3,3480.0,1.55,4231.0,3480.0,17.7,65.4,34.6,1.6
2019,17031100200,"Census Tract 1002, Cook County, Illinois",80817.0,46585.0,4.5,9.8,7.099999999999994,39.8,2861.0,2.32,2934.0,2861.0,2.5,68.2,31.8,0.5
2019,17031100300,"Census Tract 1003, Cook County, Illinois",79138.0,45793.0,1.8,5.9,5.200000000000003,37.6,2676.0,2.22,2874.0,2676.0,6.9,62.4,37.6,0.0
2019,17031120400,"Census Tract 1204, Cook County, Illinois",99306.0,39192.0,3.6,6.7,9.900000000000006,42.1,1235.0,3.02,1334.0,1235.0,7.4,82.3,17.7,1.0
2019,17031150300,"Census Tract 1503, Cook County, Illinois",77877.0,36127.0,3.8,7.0,10.5,42.9,2890.0,2.72,3172.0,2890.0,8.9,57.9,42.1,2.7
2019,17031151200,"Census Tract 1512, Cook County, Illinois",76885.0,28682.0,5.6,9.3,14.099999999999994,28.0,1210.0,2.99,1350.0,1210.0,10.4,75.5,24.5,3.1
2019,17031160200,"Census Tract 1602, Cook County, Illinois",85216.0,48930.0,3.5,6.3,6.5,49.9,1223.0,2.43,1343.0,1223.0,8.9,64.9,35.1,0.8
2019,17031170400,"Census Tract 1704, Cook County, Illinois",63542.0,31370.0,3.6,14.4,13.099999999999994,28.3,1544.0,2.71,1594.0,1544.0,3.1,73.7,26.3,1.9
2019,17031170800,"Census Tract 1708, Cook County, Illinois",62955.0,29299.0,2.9,5.4,11.299999999999997,22.9,1418.0,2.89,1510.0,1418.0,6.1,75.7,24.3,4.8
2019,17031180100,"Census Tract 1801, Cook County, Illinois",57813.0,34575.0,2.6,16.4,10.0,20.7,2235.0,2.75,2362.0,2235.0,5.4,75.3,24.7,2.2
2019,17031828505,"Census Tract 8285.05, Cook County, Illinois",58214.0,30432.0,12.4,14.6,3.299999999999997,28.4,2618.0,2.49,2792.0,2618.0,6.2,75.3,24.7,1.3
2019,17031828701,"Census Tract 8287.01, Cook County, Illinois",76875.0,25529.0,12.2,13.4,8.700000000000003,29.4,1272.0,3.12,1503.0,1272.0,15.4,71.4,28.6,0.8
2019,17031829000,"Census Tract 8290, Cook County, Illinois",21192.0,14512.0,28.5,50.9,12.400000000000006,6.4,419.0,3.1,600.0,419.0,30.2,32.2,67.8,0.0
2019,17031829402,"Census Tract 8294.02, Cook County, Illinois",41578.0,24761.0,2.3,12.7,4.299999999999997,22.0,1483.0,2.2,1571.0,1483.0,5.6,72.6,27.4,0.0
2019,17031140601,"Census Tract 1406.01, Cook County, Illinois",43988.0,22232.0,9.0,14.7,24.599999999999994,23.4,881.0,3.28,920.0,881.0,4.2,40.4,59.6,3.3
2019,17031140701,"Census Tract 1407.01, Cook County, Illinois",71125.0,30526.0,4.6,11.6,18.5,34.3,1073.0,2.82,1124.0,1073.0,4.5,28.2,71.8,10.4
2019,17031140702,"Census Tract 1407.02, Cook County, Illinois",57708.0,28754.0,5.8,18.2,27.200000000000003,30.8,1997.0,2.93,2171.0,1997.0,8.0,31.4,68.6,7.0
2019,17031150401,"Census Tract 1504.01, Cook County, Illinois",63125.0,30727.0,4.8,9.6,8.599999999999994,36.3,1812.0,2.71,1952.0,1812.0,7.2,58.5,41.5,3.7
2019,17031150402,"Census Tract 1504.02, Cook County, Illinois",87708.0,36693.0,4.6,5.6,7.400000000000006,36.0,1298.0,2.94,1492.0,1298.0,13.0,68.3,31.7,2.5
2019,17031150501,"Census Tract 1505.01, Cook County, Illinois",75956.0,36564.0,7.3,6.5,9.299999999999997,29.9,1407.0,2.77,1512.0,1407.0,6.9,71.9,28.1,4.2
2019,17031150502,"Census Tract 1505.02, Cook County, Illinois",63813.0,32703.0,3.3,10.2,9.400000000000006,32.9,1482.0,2.91,1658.0,1482.0,10.6,66.4,33.6,3.1
